,is_Action,is_Adventure,is_Fantasy,is_Science Fiction,is_Crime,is_Drama,is_Thriller,is_Animation,is_Family,is_Western,is_Comedy,is_Romance,is_Horror,is_Mystery,is_History,is_War,is_Music,is_Documentary,is_Foreign,revenue
32,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.2549111
33,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.59359555
34,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.43559607
35,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36297228
36,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.91405097
37,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.91868548
38,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05717432
39,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00062763
40,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5.59852396
41,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.19851172
42,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,10.66969703
43,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.71353001
44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0624936
45,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5.31865
46,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47862775
47,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67365246
48,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.97687603
49,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.51040419
50,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.35154643
51,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07602906
52,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.23746996
53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86636033
54,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3.31926147
55,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5.38983207
56,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43471816
57,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5.2131186
58,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2.58022233
59,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69653595
60,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.25233863
61,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83987723
62,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56743061
63,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.48806957
64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43934787
65,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.04558444
66,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,7.35099082
67,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3.8150987
68,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85174222
69,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.8577016
70,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2.22104681
71,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01128639
72,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.45
73,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.73
74,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70541256
75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6421822
76,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.02469017
77,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,8.57611174
78,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.665506
79,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23933331
80,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.966
81,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7.58539785
82,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.10644566
84,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50962475
85,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14766572
86,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,7.52600867
87,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2.09154322
88,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,6.52105443
89,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4.71222889
90,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3.0587573
91,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89681935
92,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4.94878759
93,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.35
94,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.73328629
95,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75120017
96,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8.25532764
97,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.77
98,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.21103568
99,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.07283925
100,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,3.33932083
101,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53624124
102,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53428261
103,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.15283742
